qid,answer
test_0008,B
test_0014,A
test_0017,B
test_0018,B
test_0020,C
test_0021,A
test_0023,B
test_0028,B
test_0042,B
test_0043,B
test_0044,A
test_0046,B
test_0059,A
test_0069,B
test_0070,A
test_0071,A
test_0077,B
test_0083,C
test_0091,A
test_0096,C
test_0098,C
test_0105,B
test_0109,B
test_0111,D
test_0118,B
test_0120,C
test_0128,A
test_0133,C
test_0139,A
test_0141,C
test_0142,B
test_0143,B
test_0146,A
test_0150,A
test_0152,A
test_0154,C
test_0164,A
test_0166,A
test_0175,A
test_0178,A
test_0184,C
test_0195,A
test_0202,A
test_0206,C
test_0209,A
test_0211,C
test_0212,A
test_0001,Z
test_0002,Z
test_0003,Z
test_0004,Z
test_0005,Z
test_0006,Z
test_0007,Z
test_0009,Z
test_0010,Z
test_0011,Z
test_0012,Z
test_0013,Z
test_0015,Z
test_0016,Z
test_0019,Z
test_0022,Z
test_0024,Z
test_0025,Z
test_0026,Z
test_0027,Z
test_0029,Z
test_0030,Z
test_0031,Z
test_0032,Z
test_0033,Z
test_0034,Z
test_0035,Z
test_0036,Z
test_0037,Z
test_0038,Z
test_0039,Z
test_0040,Z
test_0041,Z
test_0045,Z
test_0047,Z
test_0048,Z
test_0049,Z
test_0050,Z
test_0051,Z
test_0052,Z
test_0053,Z
test_0054,Z
test_0055,Z
test_0056,Z
test_0057,Z
test_0058,Z
test_0060,Z
test_0061,Z
test_0062,Z
test_0063,Z
test_0064,Z
test_0065,Z
test_0066,Z
test_0067,Z
test_0068,Z
test_0072,Z
test_0073,Z
test_0074,Z
test_0075,Z
test_0076,Z
test_0078,Z
test_0079,Z
test_0080,Z
test_0081,Z
test_0082,Z
test_0084,Z
test_0085,Z
test_0086,Z
test_0087,Z
test_0088,Z
test_0089,Z
test_0090,Z
test_0092,Z
test_0093,Z
test_0094,Z
test_0095,Z
test_0097,Z
test_0099,Z
test_0100,Z
test_0101,Z
test_0102,Z
test_0103,Z
test_0104,Z
test_0106,Z
test_0107,Z
test_0108,Z
test_0110,Z
test_0112,Z
test_0113,Z
test_0114,Z
test_0115,Z
test_0116,Z
test_0117,Z
test_0119,Z
test_0121,Z
test_0122,Z
test_0123,Z
test_0124,Z
test_0125,Z
test_0126,Z
test_0127,Z
test_0129,Z
test_0130,Z
test_0131,Z
test_0132,Z
test_0134,Z
test_0135,Z
test_0136,Z
test_0137,Z
test_0138,Z
test_0140,Z
test_0144,Z
test_0145,Z
test_0147,Z
test_0148,Z
test_0149,Z
test_0151,Z
test_0153,Z
test_0155,Z
test_0156,Z
test_0157,Z
test_0158,Z
test_0159,Z
test_0160,Z
test_0161,Z
test_0162,Z
test_0163,Z
test_0165,Z
test_0167,Z
test_0168,Z
test_0169,Z
test_0170,Z
test_0171,Z
test_0172,Z
test_0173,Z
test_0174,Z
test_0176,Z
test_0177,Z
test_0179,Z
test_0180,Z
test_0181,Z
test_0182,Z
test_0183,Z
test_0185,Z
test_0186,Z
test_0187,Z
test_0188,Z
test_0189,Z
test_0190,Z
test_0191,Z
test_0192,Z
test_0193,Z
test_0194,Z
test_0196,Z
test_0197,Z
test_0198,Z
test_0199,Z
test_0200,Z
test_0201,Z
test_0203,Z
test_0204,Z
test_0205,Z
test_0207,Z
test_0208,Z
test_0210,Z
test_0213,Z
test_0214,Z
test_0215,Z
test_0216,Z
test_0217,Z
test_0218,Z
test_0219,Z
test_0220,Z
test_0221,Z
test_0222,Z
test_0223,Z
test_0224,Z
test_0225,Z
test_0226,Z
test_0227,Z
test_0228,Z
test_0229,Z
test_0230,Z
test_0231,Z
test_0232,Z
test_0233,Z
test_0234,Z
test_0235,Z
test_0236,Z
test_0237,Z
test_0238,Z
test_0239,Z
test_0240,Z
test_0241,Z
test_0242,Z
test_0243,Z
test_0244,Z
test_0245,Z
test_0246,Z
test_0247,Z
test_0248,Z
test_0249,Z
test_0250,Z
test_0251,Z
test_0252,Z
test_0253,Z
test_0254,Z
test_0255,Z
test_0256,Z
test_0257,Z
test_0258,Z
test_0259,Z
test_0260,Z
test_0261,Z
test_0262,Z
test_0263,Z
test_0264,Z
test_0265,Z
test_0266,Z
test_0267,Z
test_0268,Z
test_0269,Z
test_0270,Z
test_0271,Z
test_0272,Z
test_0273,Z
test_0274,Z
test_0275,Z
test_0276,Z
test_0277,Z
test_0278,Z
test_0279,Z
test_0280,Z
test_0281,Z
test_0282,Z
test_0283,Z
test_0284,Z
test_0285,Z
test_0286,Z
test_0287,Z
test_0288,Z
test_0289,Z
test_0290,Z
test_0291,Z
test_0292,Z
test_0293,Z
test_0294,Z
test_0295,Z
test_0296,Z
test_0297,Z
test_0298,Z
test_0299,Z
test_0300,Z
test_0301,Z
test_0302,Z
test_0303,Z
test_0304,Z
test_0305,Z
test_0306,Z
test_0307,Z
test_0308,Z
test_0309,Z
test_0310,Z
test_0311,Z
test_0312,Z
test_0313,Z
test_0314,Z
test_0315,Z
test_0316,Z
test_0317,Z
test_0318,Z
test_0319,Z
test_0320,Z
test_0321,Z
test_0322,Z
test_0323,Z
test_0324,Z
test_0325,Z
test_0326,Z
test_0327,Z
test_0328,Z
test_0329,Z
test_0330,Z
test_0331,Z
test_0332,Z
test_0333,Z
test_0334,Z
test_0335,Z
test_0336,Z
test_0337,Z
test_0338,Z
test_0339,Z
test_0340,Z
test_0341,Z
test_0342,Z
test_0343,Z
test_0344,Z
test_0345,Z
test_0346,Z
test_0347,Z
test_0348,Z
test_0349,Z
test_0350,Z
test_0351,Z
test_0352,Z
test_0353,Z
test_0354,Z
test_0355,Z
test_0356,Z
test_0357,Z
test_0358,Z
test_0359,Z
test_0360,Z
test_0361,Z
test_0362,Z
test_0363,Z
test_0364,Z
test_0365,Z
test_0366,Z
test_0367,Z
test_0368,Z
test_0369,Z
test_0370,Z
