qid,answer
test_0008,b
test_0014,a
test_0017,b
test_0018,b
test_0020,c
test_0021,a
test_0023,b
test_0028,b
test_0042,b
test_0043,b
test_0044,a
test_0046,b
test_0059,a
test_0069,b
test_0070,a
test_0071,a
test_0077,b
test_0083,c
test_0091,a
test_0096,c
test_0098,c
test_0105,b
test_0109,b
test_0111,d
test_0118,b
test_0120,c
test_0128,a
test_0133,c
test_0139,a
test_0141,c
test_0142,b
test_0143,b
test_0146,a
test_0150,a
test_0152,a
test_0154,c
test_0164,a
test_0166,a
test_0175,a
test_0178,a
test_0184,c
test_0195,a
test_0202,a
test_0206,c
test_0209,a
test_0211,c
test_0212,a
test_0001,z
test_0002,z
test_0003,z
test_0004,z
test_0005,z
test_0006,z
test_0007,z
test_0009,z
test_0010,z
test_0011,z
test_0012,z
test_0013,z
test_0015,z
test_0016,z
test_0019,z
test_0022,z
test_0024,z
test_0025,z
test_0026,z
test_0027,z
test_0029,z
test_0030,z
test_0031,z
test_0032,z
test_0033,z
test_0034,z
test_0035,z
test_0036,z
test_0037,z
test_0038,z
test_0039,z
test_0040,z
test_0041,z
test_0045,z
test_0047,z
test_0048,z
test_0049,z
test_0050,z
test_0051,z
test_0052,z
test_0053,z
test_0054,z
test_0055,z
test_0056,z
test_0057,z
test_0058,z
test_0060,z
test_0061,z
test_0062,z
test_0063,z
test_0064,z
test_0065,z
test_0066,z
test_0067,z
test_0068,z
test_0072,z
test_0073,z
test_0074,z
test_0075,z
test_0076,z
test_0078,z
test_0079,z
test_0080,z
test_0081,z
test_0082,z
test_0084,z
test_0085,z
test_0086,z
test_0087,z
test_0088,z
test_0089,z
test_0090,z
test_0092,z
test_0093,z
test_0094,z
test_0095,z
test_0097,z
test_0099,z
test_0100,z
test_0101,z
test_0102,z
test_0103,z
test_0104,z
test_0106,z
test_0107,z
test_0108,z
test_0110,z
test_0112,z
test_0113,z
test_0114,z
test_0115,z
test_0116,z
test_0117,z
test_0119,z
test_0121,z
test_0122,z
test_0123,z
test_0124,z
test_0125,z
test_0126,z
test_0127,z
test_0129,z
test_0130,z
test_0131,z
test_0132,z
test_0134,z
test_0135,z
test_0136,z
test_0137,z
test_0138,z
test_0140,z
test_0144,z
test_0145,z
test_0147,z
test_0148,z
test_0149,z
test_0151,z
test_0153,z
test_0155,z
test_0156,z
test_0157,z
test_0158,z
test_0159,z
test_0160,z
test_0161,z
test_0162,z
test_0163,z
test_0165,z
test_0167,z
test_0168,z
test_0169,z
test_0170,z
test_0171,z
test_0172,z
test_0173,z
test_0174,z
test_0176,z
test_0177,z
test_0179,z
test_0180,z
test_0181,z
test_0182,z
test_0183,z
test_0185,z
test_0186,z
test_0187,z
test_0188,z
test_0189,z
test_0190,z
test_0191,z
test_0192,z
test_0193,z
test_0194,z
test_0196,z
test_0197,z
test_0198,z
test_0199,z
test_0200,z
test_0201,z
test_0203,z
test_0204,z
test_0205,z
test_0207,z
test_0208,z
test_0210,z
test_0213,z
test_0214,z
test_0215,z
test_0216,z
test_0217,z
test_0218,z
test_0219,z
test_0220,z
test_0221,z
test_0222,z
test_0223,z
test_0224,z
test_0225,z
test_0226,z
test_0227,z
test_0228,z
test_0229,z
test_0230,z
test_0231,z
test_0232,z
test_0233,z
test_0234,z
test_0235,z
test_0236,z
test_0237,z
test_0238,z
test_0239,z
test_0240,z
test_0241,z
test_0242,z
test_0243,z
test_0244,z
test_0245,z
test_0246,z
test_0247,z
test_0248,z
test_0249,z
test_0250,z
test_0251,z
test_0252,z
test_0253,z
test_0254,z
test_0255,z
test_0256,z
test_0257,z
test_0258,z
test_0259,z
test_0260,z
test_0261,z
test_0262,z
test_0263,z
test_0264,z
test_0265,z
test_0266,z
test_0267,z
test_0268,z
test_0269,z
test_0270,z
test_0271,z
test_0272,z
test_0273,z
test_0274,z
test_0275,z
test_0276,z
test_0277,z
test_0278,z
test_0279,z
test_0280,z
test_0281,z
test_0282,z
test_0283,z
test_0284,z
test_0285,z
test_0286,z
test_0287,z
test_0288,z
test_0289,z
test_0290,z
test_0291,z
test_0292,z
test_0293,z
test_0294,z
test_0295,z
test_0296,z
test_0297,z
test_0298,z
test_0299,z
test_0300,z
test_0301,z
test_0302,z
test_0303,z
test_0304,z
test_0305,z
test_0306,z
test_0307,z
test_0308,z
test_0309,z
test_0310,z
test_0311,z
test_0312,z
test_0313,z
test_0314,z
test_0315,z
test_0316,z
test_0317,z
test_0318,z
test_0319,z
test_0320,z
test_0321,z
test_0322,z
test_0323,z
test_0324,z
test_0325,z
test_0326,z
test_0327,z
test_0328,z
test_0329,z
test_0330,z
test_0331,z
test_0332,z
test_0333,z
test_0334,z
test_0335,z
test_0336,z
test_0337,z
test_0338,z
test_0339,z
test_0340,z
test_0341,z
test_0342,z
test_0343,z
test_0344,z
test_0345,z
test_0346,z
test_0347,z
test_0348,z
test_0349,z
test_0350,z
test_0351,z
test_0352,z
test_0353,z
test_0354,z
test_0355,z
test_0356,z
test_0357,z
test_0358,z
test_0359,z
test_0360,z
test_0361,z
test_0362,z
test_0363,z
test_0364,z
test_0365,z
test_0366,z
test_0367,z
test_0368,z
test_0369,z
test_0370,z
